Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
de86fa85eb7bff09e203b8a1f3002c1d8260c57e91a572c48155fce69f4953eb,2017-11,Lincolnshire Police,Lincolnshire Police,0.258910,53.340965,On or near STATION ROAD,E01026072,East Lindsey 005A,Investigation complete; no suspect identified
14a01215cc30713325995f3145a36610cbe3c1c652be9a95865fef2a3ba7278a,2017-11,Lincolnshire Police,Lincolnshire Police,0.326633,53.155098,On or near ST HUBERTS DRIVE,E01026084,East Lindsey 012A,Unable to prosecute suspect
ed92186f6b63b03f1628c50094fcdef9624f39967fcde041ae2d15e13912b22b,2017-11,Lincolnshire Police,Lincolnshire Police,0.343575,53.141837,On or near B1451,E01026093,East Lindsey 014B,Offender given a caution
7b77d65236c9235ec89a1fd848eae0a17ef22bb5c9ff1c9486a5e0a5e34e0133,2017-11,Lincolnshire Police,Lincolnshire Police,-0.538571,53.235409,On or near BAILGATE,E01026148,Lincoln 003D,Investigation complete; no suspect identified
d4c3154054d04b40318972cc4b457e38d37f88898b45e499565c05386765f8ef,2017-11,Lincolnshire Police,Lincolnshire Police,-0.604097,53.215015,On or near Supermarket,E01026128,Lincoln 007B,Further investigation is not in the public interest
600c9142aab9cec7a31c8518d1985485c8282ab4615d63d3c29cfecab8819b3d,2017-11,Lincolnshire Police,Lincolnshire Police,-0.522383,53.248622,On or near BARKSTON GARDENS,E01026165,Lincoln 002D,Unable to prosecute suspect
cb773a70a832ed4bc853124f21968f70ca36b91ad9ab92da5ba498c3f3d80b93,2017-11,Lincolnshire Police,Lincolnshire Police,-0.106865,53.200574,On or near JOBSON ROAD,E01026064,East Lindsey 011A,Unable to prosecute suspect
e7e34a844ed8b7c1518abea803cfc61bd9e7d73559526a733b99976ad3a4318d,2017-11,Lincolnshire Police,Lincolnshire Police,-0.546827,53.215922,On or near Supermarket,E01026134,Lincoln 006A,Investigation complete; no suspect identified
6f61d3ac2d721ff1da70a8511a5708e4f9f605d0649d72d73e457f6aa32811ab,2017-11,Lincolnshire Police,Lincolnshire Police,-0.027243,52.981182,On or near UNION PLACE,E01026037,Boston 002E,Unable to prosecute suspect
27cbf9d6b8291a888c5115d322a7cddf210198644f22fb3ebf422f0ac5e51f62,2017-11,Lincolnshire Police,Lincolnshire Police,-0.409167,52.997173,On or near SOUTH GATE,E01026227,North Kesteven 010A,Unable to prosecute suspect
13ca50af15fec76f463bf3e52cafc324c2d7d13516b39b2c9d97d1af548608a9,2017-11,Lincolnshire Police,Lincolnshire Police,-0.640436,52.910484,On or near ST PETER'S HILL,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
39f79be6623b9621570d55e4940f45ff85c39fef7090d45880afc63ca5edd1b1,2017-11,Lincolnshire Police,Lincolnshire Police,-0.663707,53.035609,On or near Park/Open Space,E01026329,South Kesteven 001C,Investigation complete; no suspect identified
34235a6a0d6c058077c3be03c0c9259a5dfab143a0e05dd36a39f666b2e3dad1,2017-11,Lincolnshire Police,Lincolnshire Police,-0.692458,53.257728,On or near GAINSBOROUGH ROAD,E01028317,Newark and Sherwood 004C,Unable to prosecute suspect
630d1aa836c66166ce624f285e5be3c9f108eb1e2e9e298d063857464bef0ce2,2017-11,Lincolnshire Police,Lincolnshire Police,-0.632214,52.905706,On or near STUART STREET,E01026343,South Kesteven 006D,Unable to prosecute suspect
2eab309cea2290b3f272f354b5a2a0afda8a0f10f82127ffb66e1cc91163a2d5,2017-11,Lincolnshire Police,Lincolnshire Police,0.100766,52.816207,On or near ROMAN BANK,E01026246,South Holland 002A,Unable to prosecute suspect
31a8fbc1bcf534b18560d3fd7184076c5962b17d6fed73b092eeb327b25bb9c9,2017-11,Lincolnshire Police,Lincolnshire Police,-0.030661,52.974468,On or near BROADFIELD STREET,E01026030,Boston 002C,Investigation complete; no suspect identified
8e947cbcd9bda9b11dda12e77d983163c2ff642fb2427425d4a3c04a928bb00b,2017-11,Lincolnshire Police,Lincolnshire Police,-0.039683,52.977198,On or near Sports/Recreation Area,E01026031,Boston 009B,Investigation complete; no suspect identified
4d4e75ca94beaa480646cf695d2d70a1913cb4a1c06ebeca7d3a0ded4738499b,2017-11,Lincolnshire Police,Lincolnshire Police,-0.614971,52.919063,On or near KEATS AVENUE,E01026328,South Kesteven 003D,Investigation complete; no suspect identified
dc6f7a12db9d5f620e7c506132cc03636ca6fd7240e2e6f4a8a3f5abcf72df4c,2017-11,Lincolnshire Police,Lincolnshire Police,-0.486182,52.659200,On or near ANNE ROAD,E01026287,South Kesteven 015A,Unable to prosecute suspect
63262fc1fe5f6c2083677a0cae0b8cc90836331b8379d053024ae4c10fa022a4,2017-11,Lincolnshire Police,Lincolnshire Police,0.342502,53.152611,On or near HOYLAKE DRIVE,E01026116,East Lindsey 012D,Investigation complete; no suspect identified
cf345bc7fe6e047fbcab65c061f63abd756c44098bdedcb309dda27b26bd06a6,2017-11,Lincolnshire Police,Lincolnshire Police,-0.547796,53.228465,On or near Theatre/Concert Hall,E01026132,Lincoln 005A,Investigation complete; no suspect identified
1d2639f10049e98299054e8491ca6d8647e5c9567a00e8b7ac32aab7e0df4d09,2017-11,Lincolnshire Police,Lincolnshire Police,-0.418983,53.009926,On or near GLOUCESTER CLOSE,E01026229,North Kesteven 011B,Investigation complete; no suspect identified
4d4f2b868ee53cdbb316fa6c51e8800ed191d7eeeb398509bc813575b396c1ea,2017-11,Lincolnshire Police,Lincolnshire Police,-0.543892,53.218574,On or near QUEEN STREET,E01026178,Lincoln 006D,Investigation complete; no suspect identified
8fa95b67263c2073eff0d639fcef0d1601ea5486109e477313e41779ae0a2dea,2017-11,Lincolnshire Police,Lincolnshire Police,-0.422318,53.000611,On or near WELBY CLOSE,E01026236,North Kesteven 011E,Investigation complete; no suspect identified
c31fce6aed9ef5af72ffb1ef3725fdea83c50fe32ff0b3c20e65bad3f1c207cf,2017-11,Lincolnshire Police,Lincolnshire Police,-0.513558,53.231243,On or near HILLSIDE AVENUE,E01026123,Lincoln 004B,Unable to prosecute suspect
9b249f6d956fe00a38b059f837e2a4ac42084ad6f17c895de9cf4ba768b0f66c,2017-11,Lincolnshire Police,Lincolnshire Police,-0.382222,52.769696,On or near Supermarket,E01026299,South Kesteven 010A,Investigation complete; no suspect identified
